res,com,ind,t
7.68,7.65,5.12,1
8.02,7.61,5.11,2
8.39,7.83,5.1,3
8.52,7.83,5.1,4
8.91,7.96,5.38,5
9.63,8,5.65,6
9.55,7.88,5.65,7
9.53,7.84,5.55,8
9.27,7.53,5.32,9
9.11,7.61,5.18,10
8.4,7.61,4.95,11
8.23,7.53,5,12
8.11,6.95,5.03,13
7.98,7.88,5.57,14
7.79,7.5,5,15
7.98,6.82,4.97,16
8.15,6.47,4.43,17
8.5,7.19,4.1,18
8.49,6.96,4.81,19
8.07,6.97,4.53,20
8.04,6.65,3.94,21
7.51,6.58,4.59,22
7.44,6.73,4.35,23
8.07,7.03,4.41,24
7.71,7.21,4.8,25
8.11,7.34,5.24,26
9.02,8.19,5.59,27
9.03,7.7,5.35,28
9.35,8.06,5.23,29
10.07,8.66,5.55,30
9.97,8.6,5.73,31
9.89,8.08,5.46,32
9.52,7.64,5.2,33
8.93,7.45,5.16,34
8.59,7.38,4.97,35
8.38,7.32,4.92,36
8.61,7.63,5.52,37
8.55,7.49,5.52,38
8.93,7.58,5.47,39
9.39,7.77,5.71,40
9.76,7.8,5.94,41
10.44,8.25,6.24,42
10.48,8.24,6.04,43
10.71,8.48,6.36,44
10.32,7.99,5.93,45
9.57,7.51,5.81,46
9.37,7.94,5.97,47
9.24,7.7,5.85,48
9.15,7.88,5.85,49
9.5,8.04,6.06,50
10.05,8.18,6.22,51
10.15,8.21,6.45,52
10.72,8.34,6.46,53
11.21,8.63,6.89,54
11.29,8.85,7.1,55
11.47,9.32,7.61,56
11.66,9.52,8.25,57
11.6,9.73,8.67,58
11.5,9.37,8.16,59
11.42,9.51,8.02,60
11.91,9.83,7.86,61
12.12,9.91,8.06,62
12.42,9.79,7.82,63
12.72,9.9,7.66,64
12.98,9.56,7.75,65
13.41,9.9,7.97,66
13.31,10.07,7.84,67
13.35,10.27,8.16,68
13.25,10.07,7.71,69
13.18,9.76,7.55,70
12.52,9.53,7.69,71
11.91,9.45,7.75,72
12.08,9.45,7.77,73
11.97,9.63,7.78,74
12.46,10.06,7.85,75
12.56,10.02,7.88,76
12.62,9.85,7.87,77
12.73,10.03,8.03,78
12.51,10.04,7.78,79
12.4,9.91,7.69,80
12.44,9.88,7.76,81
12.42,10,7.75,82
12.03,9.79,7.66,83
11.75,9.69,7.69,84
11.65,10.29,7.99,85
11.35,9.92,7.78,86
11.97,10.2,8.18,87
12.53,10.52,8.73,88
12.94,10.46,8.64,89
13.43,11.81,9.9,90
14.06,11.58,10.15,91
13.84,11.29,9.54,92
13.51,10.78,8.93,93
13.53,10.51,8.8,94
13.28,10.3,8.15,95
13.08,10.61,8.25,96
12.6,9.98,7.84,97
12.84,10.4,7.47,98
12.93,9.8,7.25,99
12.88,9.56,7.06,100
12.84,9.6,6.53,101
12.66,10.06,6.74,102
12.38,9.48,6.23,103
12.15,9.45,6.37,104
12.05,9.4,6.37,105
11.97,9.49,6.32,106
12.08,9.54,6.24,107
11.52,9.35,6.59,108
11.21,9.34,6.41,109
11.34,9.52,6.68,110
11.51,9.59,6.56,111
12.12,9.41,6.48,112
11.94,9.25,6.4,113
11.85,9.21,6.48,114
11.71,9.05,6.54,115
11.7,9.15,6.68,116
11.58,9.12,6.19,117
11.62,9.06,6.43,118
11.32,8.75,6.07,119
11.25,8.92,6.32,120
10.7,8.69,5.81,121
10.65,8.93,6.3,122
11.13,8.92,6.08,123
11.16,8.68,5.87,124
11.27,8.8,6,125
11.25,8.95,6.44,126
11.16,8.84,6.47,127
11.15,9.14,7.27,128
11.16,9.03,6.69,129
11.23,8.6,5.96,130
11.19,8.62,5.94,131
10.89,8.49,5.82,132
10.77,8.41,5.58,133
11.05,8.51,5.58,134
11.01,8.27,5.41,135
11.02,8.18,5.23,136
10.84,8.09,5.37,137
10.97,8.15,5.6,138
10.87,8.08,5.87,139
10.96,8.15,5.9,140
11.11,8.14,5.71,141
11.16,8.06,5.51,142
11.11,7.96,5.49,143
10.99,7.97,5.54,144
10.84,8.02,5.45,145
11.05,8.03,5.59,146
11.03,8.07,5.52,147
11.43,8.06,5.65,148
11.57,8.19,5.8,149
11.44,8.09,6.05,150
11.41,8.06,6.14,151
11.45,7.98,6.14,152
11.36,7.84,6.03,153
11.68,8,5.74,154
11.67,7.9,5.64,155
11.27,8,5.79,156
